frame,ball_detected,interpolated,conf,x1,y1,x2,y2,cx,cy,width,height,multi_detection,shot_by,mx,my,dist_meters,speed_kmh
1,False,False,,,,,,,,,,False,,,,,
2,True,False,0.2556,1015.7,140.12,1028.36,153.18,1022.03,146.65,12.66,13.06,False,2.0,5.8839,-10.8703,,
3,True,False,0.2759,1019.51,127.94,1032.35,140.99,1025.93,134.46,12.84,13.05,False,2.0,5.9836,-12.067,1.2008,129.69
4,True,False,0.2548,1019.5,127.98,1032.29,140.96,1025.9,134.47,12.78,12.98,False,2.0,5.9836,-12.067,0.0,0.0
5,False,True,,1015.87,124.48,1035.87,144.48,1025.87,134.48,20.0,20.0,False,2.0,5.9836,-12.067,0.0,0.0
6,False,True,,1015.87,124.48,1035.87,144.48,1025.87,134.48,20.0,20.0,False,2.0,5.9836,-12.067,0.0,0.0
7,False,True,,1015.87,124.48,1035.87,144.48,1025.87,134.48,20.0,20.0,False,2.0,5.9836,-12.067,0.0,0.0
8,True,False,0.5862,1030.64,83.91,1042.55,96.15,1036.59,90.03,11.91,12.24,False,2.0,6.1831,-16.7542,,
9,True,False,0.5994,1033.37,78.11,1044.76,89.53,1039.07,83.82,11.4,11.42,False,2.0,6.2828,-17.4523,0.7052,76.16
10,True,False,0.5947,1033.36,78.12,1044.74,89.52,1039.05,83.82,11.38,11.4,False,2.0,6.2828,-17.4523,0.0,0.0
11,True,False,0.5968,1035.13,72.87,1047.72,85.95,1041.42,79.41,12.59,13.08,False,2.0,6.2828,-17.9509,0.4986,53.85
12,True,False,0.6836,1036.87,68.2,1049.71,81.45,1043.29,74.83,12.83,13.25,False,2.0,6.3825,-18.5493,0.6066,65.52
13,True,False,0.6344,1038.49,63.29,1051.11,76.32,1044.8,69.81,12.61,13.03,False,2.0,6.3825,-19.1476,0.5983,64.62
14,True,False,0.617,1041.25,57.09,1055.6,71.71,1048.42,64.4,14.34,14.63,False,2.0,6.4823,-19.746,0.6067,65.52
15,True,False,0.3413,1043.8,56.19,1057.6,70.21,1050.7,63.2,13.8,14.02,False,2.0,6.4823,-19.9455,0.1995,21.55
16,True,False,0.2911,1043.66,56.33,1057.65,70.54,1050.65,63.43,13.98,14.21,False,2.0,6.4823,-19.9455,0.0,0.0
17,True,False,0.4195,1044.99,55.12,1059.39,69.84,1052.19,62.48,14.4,14.72,False,2.0,6.582,-20.0452,0.141,15.23
18,False,True,,1043.73,51.53,1063.73,71.53,1053.73,61.53,20.0,20.0,False,2.0,6.582,-20.1449,0.0997,10.77
19,True,False,0.6536,1051.63,56.83,1064.75,70.46,1058.19,63.65,13.11,13.63,False,2.0,6.6817,-19.8457,0.3154,34.06
20,True,False,0.7144,1053.27,58.79,1067.87,73.63,1060.57,66.21,14.59,14.84,False,2.0,6.6817,-19.5465,0.2992,32.31
21,True,False,0.5718,1055.77,61.92,1069.62,76.06,1062.69,68.99,13.85,14.15,False,2.0,6.6817,-19.2474,0.2991,32.3
22,True,False,0.5721,1055.73,61.94,1069.53,76.03,1062.63,68.98,13.8,14.09,False,2.0,6.6817,-19.2474,0.0,0.0
23,True,False,0.6996,1057.1,63.81,1071.2,78.56,1064.15,71.19,14.1,14.75,False,2.0,6.7815,-18.9482,0.3154,34.06
24,True,False,0.7202,1060.73,69.79,1074.45,84.2,1067.59,77.0,13.72,14.41,False,2.0,6.7815,-18.2501,0.6981,75.39
25,True,False,0.4027,1062.54,72.67,1078.74,89.52,1070.64,81.09,16.2,16.85,False,2.0,6.8812,-17.7515,0.5085,54.91
26,True,False,0.5644,1066.77,86.31,1080.26,100.32,1073.52,93.32,13.5,14.01,False,2.0,6.8812,-16.3553,1.3962,150.79
27,False,True,,1066.4,95.55,1086.4,115.55,1076.4,105.55,20.0,20.0,False,2.0,6.8812,-15.0588,1.2965,140.02
28,False,True,,1066.4,95.55,1086.4,115.55,1076.4,105.55,20.0,20.0,False,2.0,6.8812,-15.0588,0.0,0.0
29,True,False,0.2592,439.2,184.06,449.15,194.26,444.18,189.16,9.96,10.21,False,2.0,-2.8921,-7.1804,,
30,False,True,,-195.16,275.0,-175.16,295.0,-185.16,285.0,20.0,20.0,False,1.0,-10.1722,-0.0997,,
31,False,True,,-195.16,275.0,-175.16,295.0,-185.16,285.0,20.0,20.0,False,1.0,-10.1722,-0.0997,0.0,0.0
